_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1426315759,PLANDEMIA MUNDIAL COVID 2021 🧡,"{'_': 'ChatPhoto', 'photo_id': 5091712781023029574, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcfG\tl\xc8P\x1d\xdc\x83\xe9E\x14S\x15\x8f'}",2023-10-25 15:03:26+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-502644747757669018,PLANDEMIA_MUNDIAL_COVID,[],,,,100905,[],180,179,1,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1317143701,PLANDEMIA MUNDIAL COVID 2021,"{'_': 'ChatPhoto', 'photo_id': 5095943036046780664, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xceFE\xb6`\xf1\xe4\xb7F\xc5\x14QLV?'}",2021-01-31 23:53:08+00:00,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2297308883629422712,PlandemiaMundialCovid2021,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': True, 'change_info': True, 'invite_users': False, 'pin_messages': True, 'manage_topics': False}",6732,[],21,19,2,{'channels': ['PLANDEMIA_MUNDIAL_COVID']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1423174466,Worldwide 2.0 Buenos Aires,"{'_': 'ChatPhoto', 'photo_id': 5125345162384484774, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91X\xee'&\x8a(\xac\xacis""}",2021-04-28 18:07:38+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-7708720734531836493,wide2buenosaires,[],,,,1320,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1309126418,AMPARAZO ❤ NACIONAL COVID,"{'_': 'ChatPhoto', 'photo_id': 4967644962686609579, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xac\xe7\xf8\x82\xfc\xb9\xc0\x02\x8a(\xaa,'}",2020-11-01 13:55:08+00:00,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2488996024201743601,AmparazoNacionalVacunaCovid,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': True, 'send_media': True, 'send_stickers': True, 'send_gifs': True, 'send_games': True, 'send_inline': True, 'embed_links': True, 'send_polls': True, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False}",17238,[],4,4,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1188509220,Jorge Guerra - Canal Actualidad y Opiniones,"{'_': 'ChatPhoto', 'photo_id': 5961011108011685074, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd0\xdcTm1;\x05\xe0QE\x14\x80'}",2021-06-15 13:38:59+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1819816918358533067,jorgeguerra_actualidad,[],,,,4807,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1481018703,CANAL ❤ ELIZABETH MARQUEZ,"{'_': 'ChatPhoto', 'photo_id': 5087207325969787165, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08n1\x1epM\x14QY\xdc\xb6\x7f'}",2021-02-04 18:32:11+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-8290048154719080811,DRAMARQUEZELI,[],,,,528,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1176710398,TLV1 toda la verdad Primero (canal),"{'_': 'ChatPhoto', 'photo_id': 4947524814726342784, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08q1\xb4[\x87\xa7J(\xa2\xb4\xb1\x9d\xcf'}",2020-07-20 03:56:44+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-8588655468866843027,TLV1_Ok,[],,,,11818,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1675141968,TLV1 toda la verdad Primero (canal) Chat,"{'_': 'ChatPhoto', 'photo_id': 4936417410823596642, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb3n8\x05W\x1c`\xf2(\xa2\x8a\x92\x8f'}",2022-05-26 21:30:42+00:00,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2624420533367584124,TLV1chat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False}",351,[],1,0,1,{'channels': ['TLV1_Ok']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1463394128,Raúl Maciá,"{'_': 'ChatPhoto', 'photo_id': 5980881379069638867, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x84\xb4\xa1]\x19J\x93\x8cc\x8c\x1a(\xa2\xa9$\r\x9f'}",2021-01-11 13:32:50+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4442109724065790015,raulmacia,[],,,,2329,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1484642209,Médicos por la verdad México 🇲🇽,"{'_': 'ChatPhoto', 'photo_id': 5006274538496960794, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbeb\x99\xbe]\xd8\xf9\xb3\xc7\xd6\x8a(\xa0i\xb4\xac\x7f'}",2020-08-08 17:34:06+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6962588709616809658,medicosporlaverdadmexico,[],,,,22765,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
Channel,1228946795,a user,{'_': 'ChatPhotoEmpty'},2019-03-15 13:01:57+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1085241585986398043,HiddenSender,[],,,,296881,[],1,1,0,{'channels': ['self']},['PLANDEMIA_MUNDIAL_COVID']
